
=== DEALER (461 rows, 122 suspect) ===
    #   1  Premium Auto Malawi                       Lilongwe         +265991234567    
    #   2  Southern Motors Ltd                       Blantyre         +265881234567    
    #   3  Capital Car Center                        Lilongwe         +265991345678    
    #   4  Northern Auto Sales                       Mzuzu            +265881345678    
    #   5  Blantyre Elite Motors                     Blantyre         +265991456789    
    #   8  DEALER Updated e2e_20260410_233024_2ce75  Blantyre                          
    #   9  Dealer Biz e2e_20260410_233316_8bf4fd     Blantyre                          
    #  10  Dealer Biz e2e_20260410_233342_c1b7ec     Blantyre                          
    #  11  Dealer Tester 20260411001854 Updated's S  Blantyre                          
[?] #  12                                            Blantyre                          no-auto-keyword; short-generic-name
[?] #  13                                            Blantyre                          no-auto-keyword; short-generic-name
[?] #  14                                            Blantyre                          no-auto-keyword; short-generic-name
    #  15  Dealer Upload Tester 20260411003727's Sh  Blantyre                          
    #  16  Dealer Upload Tester 20260411004036's Sh  Blantyre                          
    #  17  Dealer Upload Tester 20260411004200's Sh  Blantyre                          
    #  18  Dealer Upload Tester 20260411004305's Sh  Blantyre                          
    #  19  Dealer Upload Tester 20260411004414's Sh  Blantyre                          
    #  20  Onboard Notify Dealer 20260411010220      Dedza            +26599180220     
    #  21  Onboard Notify Dealer 202604110107370     Dedza            +26599187370     
    #  22  Onboard Notify Dealer 202604110107381     Dedza            +26599187381     
    #  23  Onboard Notify Dealer 202604110107560     Dedza            +26599187560     
    #  24  Onboard Notify Dealer 202604110107571     Dedza            +26599187571     
    #  25  Onboard Notify Dealer 202604110112160     Dedza            +26599182160     
    #  26  Onboard Notify Dealer 202604110112171     Dedza            +26599182171     
    #  27  Dealer Upload Tester 20260411011457's Sh  Blantyre                          
    #  28  Dealer Upload Tester 20260411011931's Sh  Blantyre                          
    #  29  Onboard Notify Dealer 202604110119570     Dedza            +26599189570     
    #  30  Onboard Notify Dealer 202604110119581     Dedza            +26599189581     
[?] #  31                                            Blantyre                          no-auto-keyword; short-generic-name
    #  32  Dealer Upload Tester 20260411012220's Sh  Blantyre                          
    #  33  Onboard Notify Dealer 202604110122460     Dedza            +26599182460     
    #  34  Onboard Notify Dealer 202604110122471     Dedza            +26599182471     
[?] #  35                                            Blantyre                          no-auto-keyword; short-generic-name
    #  36  Onboard Notify Dealer 202604110129170     Dedza            +26599189170     
    #  37  Onboard Notify Dealer 202604110129191     Dedza            +26599189191     
[?] #  38                                            Blantyre                          no-auto-keyword; short-generic-name
    #  39  Dealer Upload Tester 20260411013342's Sh  Blantyre                          
[?] #  40                                            Blantyre                          no-auto-keyword; short-generic-name
    #  41  Dealer Upload Tester 20260411013713's Sh  Blantyre                          
[?] #  42                                            Blantyre                          no-auto-keyword; short-generic-name
    #  43  Dealer Upload Tester 20260411014803's Sh  Blantyre                          
[?] #  44                                            Blantyre                          no-auto-keyword; short-generic-name
    #  46  Automotive Products Limited - Lilongwe    Lilongwe         0997 22 08 67    
    #  47  BE FORWARD Malawi Kanengo Office (ALLIED  Lilongwe         01 710 075       
    #  48  Used Cars for Sale                        Lilongwe                          
    #  49  Fast Motors Lilongwe                      Lilongwe         0999 42 53 91    
    #  50  Toyota by CFAO MALAWI                     Blantyre         01 755 666       
    #  51  DISCOUNTED VEHICLE AGENCY                 Lilongwe         0888 52 30 62    
    #  52  Richard's Car Market                      Lilongwe         0998 06 36 72    
    #  53  Imported Used Vehicles Consulting - Auto  Lilongwe         0999 09 13 66    
